2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Synodus_rubromarmoratus###248428186.jpg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Tosia_australis###444154073.jpeg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Munida_tenuimana###GOOGLE004.jpeg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Dosinia_exoleta###299951067.jpeg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Calliostoma_pulchrum###GOOGLE002.jpeg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Torpedo_sinuspersici###349673681.jpg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Calcinus_imperialis###353513307.jpeg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Ogcocephalus_darwini###426721649.jpg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Haemulon_melanurum###422625552.jpg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Idotea_metallica###425624401.jpeg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Lissocampus_caudalis###GOOGLE002.jpeg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Plagiotremus_goslinei###341235004.jpg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Cafius_bistriatus###29557493.jpg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Eucinostomus_currani###246050218.jpeg
2025-03-13 23:07:56 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Epitonium_apiculatum###349663388.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Tripodichthys_blochii###338738413.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Callinectes_ornatus###423222890.jpeg
